OccID,OccNo,From,To,Moving,V Type,Hull Material,Year Built,Occ Type,Event Type,Damage,Region
44851,M18P0199,27,27,1,2,1,2007,2,8,0,9
44850,M18P0198,27,27,0,3,1,2007,2,6,0,9
44849,M18F0021,27,27,1,3,1,1979,1,4,2,7
44849,M18F0021,27,27,1,3,1,1951,1,4,2,7
44848,M18C0183,27,27,1,3,5,1981,2,6,2,2
44847,M18F0020,27,27,1,2,3,1987,2,6,0,7
44846,M18C0182,27,27,1,2,1,1967,2,6,3,2
44845,M18P0197,27,27,1,3,4,2010,2,6,2,9
44844,M18C0181,27,27,1,5,3,1973,1,4,3,2
44843,M18C0180,27,27,1,2,3,1954,2,6,3,2
44842,M18C0179,27,27,1,2,1,2001,2,4,0,2
44841,M18C0178,27,27,1,5,1,2009,1,4,0,2
44841,M18C0178,27,27,1,5,1,1979,1,4,0,2
44841,M18C0178,27,27,1,5,1,1995,1,4,0,2
44839,M18C0177,27,27,1,3,5,1978,2,6,0,2
44838,M18C0176,27,27,1,2,3,1990,1,8,2,2
44837,M18C0175,27,27,1,3,3,2010,2,6,1,2
44836,M18C0174,27,27,0,2,3,2010,2,3,3,2
44835,M18P0196,194,194,1,1,3,1980,2,1,2,9
44835,M18P0196,194,194,1,1,3,1978,2,1,2,9
44834,M18C0173,194,27,1,2,3,1978,1,4,3,2
44832,M18C0171,194,27,1,2,3,1972,1,8,2,2
44830,M18C0169,27,27,1,3,5,1981,2,6,2,2
44830,M18C0169,27,27,1,3,5,2000,2,6,2,2
44829,M18C0168,27,27,1,5,3,2000,2,6,2,2
44827,M18C0166,27,27,1,3,2,2003,2,1,2,2
44827,M18C0166,27,27,1,3,2,2003,2,1,2,2
44826,M18P0195,27,27,1,5,1,1998,1,8,2,9
44825,M18P0194,27,27,0,3,2,1979,1,8,2,9
44824,M18P0193,27,27,1,3,4,2005,2,6,2,9
44823,M18P0192,27,27,1,3,5,1978,1,8,2,9
44822,M18P0191,102,27,0,2,3,1990,2,6,2,9
44821,M18P0190,0,0,1,1,3,1979,2,1,0,9
44821,M18P0190,27,27,1,1,3,1968,2,1,0,9
44821,M18P0190,194,194,1,1,3,1973,2,1,0,9
44816,M18P0189,27,27,1,5,1,1989,1,8,0,9
44816,M18P0189,27,194,1,5,1,1989,1,8,0,9
44815,M18C0163,27,27,0,5,3,2006,1,7,3,2
44814,M18P0188,27,27,0,1,5,1972,1,8,2,9
44813,M18P0187,27,194,1,4,3,1979,2,7,0,9
44812,M18C0162,27,27,1,2,3,1981,2,6,2,2
44811,M18C0161,27,27,1,5,3,1979,2,1,2,2
44811,M18C0161,27,27,1,5,3,1979,2,1,2,2
44810,M18C0160,27,27,1,2,3,1979,2,6,2,2
44809,M18C0159,27,27,1,5,3,2000,1,4,3,2
44809,M18C0159,27,27,1,5,3,1963,1,4,3,2
44808,M18P0186,27,27,1,5,1,1979,2,4,0,9
44808,M18P0186,27,27,1,5,1,2000,2,4,0,9
44806,M18C0158,27,27,1,5,3,2013,2,6,2,2
44802,M18P0185,27,27,1,5,4,2012,1,4,0,9
44802,M18P0185,27,27,1,5,4,2011,1,4,0,9
44801,M18C0157,27,194,1,2,3,2011,2,4,0,2
44800,M18P0184,27,27,1,3,4,2011,2,7,1,9
44799,M18C0156,27,27,0,2,3,2012,1,1,3,2
44798,M18C0155,27,27,1,2,3,2012,2,6,2,2
44794,M18P0183,27,27,1,5,1,1979,1,4,0,9
44794,M18P0183,27,27,1,5,1,1967,1,4,0,9
44793,M18P0182,27,27,1,5,1,1971,1,4,0,9
44793,M18P0182,27,27,0,5,1,1979,1,4,0,9
44792,M18P0181,27,27,1,3,3,1976,1,4,0,9
44792,M18P0181,27,27,1,3,3,2011,1,4,0,9
44791,M18C0154,27,27,1,2,3,1979,1,4,2,2
44790,M18P0180,27,27,1,3,5,1979,1,2,2,9
44789,M18C0153,27,27,1,2,3,1979,2,6,0,2
44787,M18P0179,27,27,1,3,5,1943,2,6,3,9
44779,M18P0178,27,27,1,3,3,1984,2,6,3,9
44778,M18P0177,0,0,1,1,3,1979,2,1,2,9
44778,M18P0177,27,27,1,1,3,2015,2,1,2,9
44777,M18P0176,27,27,1,3,4,1979,1,4,0,9
44777,M18P0176,27,27,1,3,4,1965,1,4,0,9
44776,M18C0152,27,27,0,5,3,1978,2,6,2,2
44774,M18A0254,27,27,1,3,2,2012,2,6,2,8
44773,M18A0253,27,27,1,3,1,1972,1,4,0,8
44773,M18A0253,27,27,1,3,1,1973,1,4,0,8
44771,M18C0151,27,27,1,2,1,2011,1,8,2,2
44770,M18P0174,27,27,1,3,1,1990,2,6,2,9
44768,M18P0172,27,27,1,3,2,1988,1,2,2,9
44767,M18P0171,27,27,1,4,1,1981,1,4,0,9
44767,M18P0171,27,27,1,4,1,1982,1,4,0,9
44766,M18P0170,27,27,1,2,3,2015,2,6,2,9
44764,M18P0168,27,27,1,1,3,2001,2,1,2,9
44764,M18P0168,27,27,1,1,3,1974,2,1,2,9
44762,M18P0166,27,27,1,5,1,1992,1,8,2,9
44761,M18P0165,27,27,1,4,2,1979,1,4,2,9
44761,M18P0165,27,27,0,4,2,2016,1,4,2,9
44760,M18P0164,0,0,1,1,1,2007,1,4,0,9
44760,M18P0164,27,27,1,1,1,2007,1,4,0,9
44760,M18P0164,27,27,1,1,1,1979,1,4,0,9
44759,M18P0163,27,27,0,5,1,1964,2,2,2,9
44758,M18A0252,27,27,1,5,1,1979,2,6,0,8
44748,M18A0242,27,27,1,5,3,1979,2,6,0,8
44716,M18P0162,27,27,1,4,5,1979,2,4,2,9
44716,M18P0162,27,27,1,4,5,1979,2,4,2,9
44711,M18P0161,27,27,1,5,1,1973,1,4,0,9
44711,M18P0161,27,27,1,5,1,1979,1,4,0,9
44710,M18C0150,27,27,1,3,2,1979,1,2,2,2
44709,M18C0149,27,27,1,5,1,1979,2,6,2,2
44709,M18C0149,27,27,1,5,1,1979,2,6,2,2
44708,M18P0160,27,27,1,4,4,1979,1,2,2,9
44704,M18C0148,27,27,1,2,3,1979,1,8,2,2
44702,M18C0147,27,27,1,5,4,1979,1,4,2,2
44701,M18C0146,27,27,1,5,1,1979,1,4,3,2
44700,M18P0158,27,27,1,3,2,2005,2,6,2,9
44699,M18P0157,27,27,1,3,2,1979,2,2,2,9
44698,M18P0156,27,27,1,3,5,1979,2,6,2,9
44697,M18P0155,27,27,1,2,3,2014,2,6,2,9
44696,M18C0145,27,27,1,5,1,1989,1,4,0,2
44696,M18C0145,27,27,1,5,1,1927,1,4,0,2
44695,M18C0144,27,27,1,5,1,1981,1,4,0,2
44695,M18C0144,27,27,1,5,1,1979,1,4,0,2
44694,M18C0143,27,27,0,2,3,2002,1,7,0,2
44693,M18C0142,27,27,1,5,1,1979,1,4,0,2
44693,M18C0142,27,27,1,5,1,1979,1,4,0,2
44692,M18C0141,27,27,1,2,3,2007,1,4,3,2
44691,M18C0140,27,27,1,2,3,2007,1,4,2,2
44690,M18P0154,27,27,1,3,4,2004,2,6,2,9
44689,M18C0139,27,27,1,3,4,2004,2,6,2,2
44688,M18C0138,27,27,0,3,5,1979,1,4,3,2
44688,M18C0138,27,27,1,3,5,1967,1,4,3,2
44687,M18P0153,27,27,1,3,4,1968,2,6,2,9
44686,M18C0137,27,27,1,5,1,1968,1,4,0,2
44686,M18C0137,27,27,1,5,1,1970,1,4,0,2
44686,M18C0137,27,27,1,5,1,2005,1,4,0,2
44685,M18C0136,27,27,0,2,3,1979,1,7,0,2
44684,M18C0135,27,27,1,3,2,2016,2,2,2,2
44683,M18C0134,27,27,1,3,3,1979,2,2,2,2
44682,M18C0133,194,27,1,2,3,2012,1,8,3,2
44681,M18C0132,27,27,1,5,1,2002,1,4,0,2
44681,M18C0132,27,27,1,5,1,1979,1,4,0,2
44680,M18P0152,27,27,1,4,4,2011,1,4,2,9
44679,M18P0151,27,27,1,2,3,2008,2,6,2,9
44678,M18P0150,27,27,1,4,5,1973,1,2,3,9
44677,M18C0131,0,0,1,3,5,1974,2,6,2,2
44676,M18C0130,194,27,1,2,3,1988,2,2,3,2
44675,M18C0129,27,27,1,3,2,1991,1,2,1,2
44674,M18F0018,27,27,1,2,3,1997,1,4,2,7
44673,M18F0017,27,194,1,2,3,1973,2,6,0,7
44672,M18P0149,27,27,1,3,3,1979,2,6,2,9
44671,M18P0148,27,27,1,1,3,1979,1,4,2,9
44671,M18P0148,27,27,1,1,3,2011,1,4,2,9
44670,M18P0147,27,27,1,5,3,2012,2,7,0,9
44670,M18P0147,27,27,1,5,3,1986,2,7,0,9
44669,M18P0146,13,194,1,2,3,1989,2,6,2,9
44668,M18P0145,27,27,1,5,1,1967,1,4,2,9
44668,M18P0145,27,27,1,5,1,1967,1,4,2,9
44668,M18P0145,27,27,1,5,1,1979,1,4,2,9
44667,M18P0144,27,27,0,5,3,1971,2,6,2,9
44658,M18A0195,27,27,1,3,5,2009,2,6,2,8
44657,M18A0194,27,27,1,3,5,2014,2,6,2,8
44656,M18A0193,27,27,1,3,5,1998,1,7,0,8
44655,M18A0192,27,27,1,3,5,1998,2,6,2,8
44654,M18A0191,27,27,1,3,1,1990,2,6,2,8
44653,M18A0190,27,27,1,3,1,2014,2,6,2,8
44651,M18A0188,27,27,1,3,5,1980,2,6,2,8
44650,M18A0187,27,27,1,3,2,1980,2,6,2,8
44649,M18A0186,27,27,1,3,2,1981,2,6,2,8
44648,M18C0128,0,0,1,5,1,2016,2,4,0,2
44648,M18C0128,27,27,1,5,1,1989,2,4,0,2
44648,M18C0128,27,27,1,5,1,2007,2,4,0,2
44646,M18C0126,27,27,1,3,2,1993,2,6,0,2
44645,M18P0143,27,27,1,3,5,1993,2,6,0,9
44644,M18P0142,27,27,1,4,3,1980,2,6,2,9
44643,M18P0141,27,27,1,4,5,1982,2,8,2,9
44642,M18C0125,27,27,1,5,1,2005,2,1,2,2
44641,M18P0140,27,27,1,3,1,1979,1,4,0,9
44641,M18P0140,27,27,1,3,1,1979,1,4,0,9
44640,M18C0124,27,27,1,2,3,1988,1,7,0,2
44639,M18P0139,27,27,1,3,4,1993,2,6,2,9
44638,M18C0123,27,27,1,4,3,1988,1,4,0,2
44638,M18C0123,27,27,1,4,3,1979,1,4,0,2
44637,M18C0122,27,27,1,3,5,1979,2,6,2,2
44635,M18C0121,27,27,1,5,1,1979,1,4,0,2
44635,M18C0121,27,27,1,5,1,1979,1,4,0,2
44634,M18C0120,27,27,1,5,1,1979,1,4,0,2
44634,M18C0120,27,27,1,5,1,1979,1,4,0,2
44633,M18P0137,27,27,1,4,4,1986,2,6,2,9
44632,M18P0136,27,27,1,3,3,1981,2,6,2,9
44631,M18P0135,27,27,1,3,5,1979,2,6,2,9
44630,M18C0119,27,27,1,2,3,2005,2,6,2,2
44629,M18C0118,194,27,1,2,3,1977,2,6,2,2
44628,M18P0134,27,27,1,3,2,1979,1,2,2,9
44627,M18P0133,27,27,1,2,3,1980,2,6,2,9
44624,M18A0185,27,27,1,3,5,1938,1,4,2,8
44624,M18A0185,27,27,1,3,5,1979,1,4,2,8
44623,M18P0130,27,27,1,3,5,1979,2,6,2,9
44622,M18P0129,27,27,1,5,3,1979,2,6,2,9
44621,M18C0117,27,27,0,2,1,1979,1,7,0,2
44620,M18C0116,27,27,1,3,5,1979,2,6,2,2
44619,M18P0128,27,27,1,5,4,1979,1,4,1,9
44618,M18A0184,27,27,1,3,4,1979,2,6,2,8
44616,M18C0115,27,27,1,2,3,1943,2,6,2,2
44613,M18P0127,0,0,1,1,1,1979,1,4,3,9
44613,M18P0127,27,27,1,1,1,1967,1,4,3,9
44612,M18P0126,27,27,1,2,3,1939,2,6,3,9
44611,M18P0125,27,27,1,3,4,1981,2,6,3,9
44610,M18P0124,27,27,1,5,4,1979,2,6,3,9
44609,M18P0123,27,27,1,3,2,2003,2,6,3,9
44608,M18A0181,27,27,1,3,5,1979,2,6,2,8
44606,M18C0113,27,27,1,5,3,1979,2,2,0,2
44606,M18C0113,0,0,1,5,3,1979,2,2,0,2
44605,M18C0112,27,27,1,5,1,1972,1,8,2,2
44604,M18C0111,27,27,1,5,4,1989,2,2,0,2
44602,M18A0178,27,27,1,3,1,2007,2,6,2,8
44599,M18P0122,27,27,0,2,1,2011,2,5,0,9
44598,M18A0175,27,27,1,3,5,1939,2,8,2,8
44595,M18C0110,27,27,1,2,3,1939,2,6,3,2
44594,M18C0109,27,27,1,3,1,1979,2,6,2,2
44593,M18C0108,27,27,0,2,3,1998,2,6,2,2
44592,M18C0107,27,27,1,3,1,2016,2,6,2,2
44590,M18C0105,27,27,1,5,3,1979,2,1,2,2
44590,M18C0105,125,27,1,5,3,1979,2,1,2,2
44590,M18C0105,27,27,1,5,3,2008,2,1,2,2
44590,M18C0105,27,27,1,5,3,1993,2,1,2,2
44589,M18F0016,27,27,1,2,3,1979,1,8,3,7
44588,M18P0121,27,27,0,5,3,1986,2,5,0,9
44587,M18C0104,27,27,1,2,3,2009,1,4,2,2
44586,M18C0103,27,27,1,3,1,2013,2,6,2,2
44584,M18F0015,27,27,1,5,3,1993,2,2,1,7
44583,M18C0101,27,27,1,3,5,2008,2,6,2,2
44582,M18A0172,27,27,1,3,5,1979,2,6,2,8
44579,M18A0169,27,27,1,3,1,1979,2,7,0,8
44577,M18C0100,27,193,1,2,3,1975,1,8,2,2
44576,M18C0099,27,27,1,3,3,1979,2,6,2,2
44574,M18F0014,27,27,1,2,3,1970,2,4,2,7
44571,M18C0098,27,27,1,4,5,1977,2,6,2,2
44570,M18C0097,27,27,1,3,2,1979,2,6,1,2
44569,M18P0120,27,27,1,3,4,1979,1,2,2,9
44568,M18A0166,27,27,0,5,3,1979,1,5,2,8
44567,M18P0119,27,27,1,5,1,1979,1,2,2,9
44567,M18P0119,27,27,1,5,1,1988,1,2,2,9
44567,M18P0119,27,27,1,5,1,1979,1,2,2,9
44567,M18P0119,27,27,1,5,1,2001,1,2,2,9
44564,M18A0163,27,27,1,5,4,1979,1,5,3,8
44561,M18A0160,27,27,1,3,1,2017,2,6,2,8
44555,M18A0154,27,27,1,3,2,1979,2,6,2,8
44553,M18A0152,27,27,1,3,5,2003,2,8,0,8
44552,M18A0151,27,27,1,3,3,1979,1,7,0,8
44549,M18A0148,27,27,1,3,3,2012,1,2,3,8
44546,M18A0145,27,27,1,3,1,2009,2,6,2,8
44543,M18A0142,27,27,1,3,5,2012,2,6,2,8
44540,M18A0139,27,27,1,3,5,2005,2,7,0,8
44539,M18A0138,27,27,1,3,5,1978,2,6,0,8
44538,M18A0137,27,27,1,3,1,1978,2,6,0,8
44537,M18A0136,27,27,1,3,5,1979,2,6,2,8
44536,M18A0135,27,27,1,3,1,1991,2,6,0,8
44534,M18A0133,27,27,1,3,3,2004,2,6,2,8
44533,M18A0132,27,27,1,5,1,2012,2,6,0,8
44532,M18A0131,27,27,1,3,1,1996,2,6,0,8
44531,M18A0130,27,27,1,3,5,1979,2,6,2,8
44530,M18A0129,27,27,1,3,1,1979,2,6,0,8
44529,M18A0128,27,27,1,3,5,2011,2,6,0,8
44528,M18A0127,27,27,1,3,5,2011,2,6,2,8
44525,M18A0124,27,27,1,3,5,2007,2,6,2,8
44524,M18A0123,27,27,1,3,5,1993,2,6,0,8
44523,M18A0122,27,27,1,3,5,1977,2,6,0,8
44522,M18A0121,27,27,1,3,1,1983,2,6,2,8
44521,M18A0120,27,27,1,3,1,1978,2,6,0,8
44520,M18A0119,27,27,1,3,5,1987,2,6,0,8
44519,M18A0118,27,27,1,3,2,1979,2,6,2,8
44518,M18A0117,27,27,1,3,2,1979,2,6,0,8
44517,M18A0116,27,27,1,3,1,2004,2,6,0,8
44516,M18A0115,27,27,1,3,2,2005,2,6,2,8
44515,M18A0114,27,27,1,3,1,1979,2,6,0,8
44514,M18A0113,27,27,1,5,3,1981,2,2,1,8
44513,M18A0112,27,27,1,3,1,2004,2,6,2,8
44512,M18C0096,27,27,1,5,3,1979,2,2,0,2
44511,M18C0095,27,27,1,2,3,1979,2,6,2,2
44510,M18C0094,27,27,1,3,5,1979,2,6,2,2
44509,M18A0111,27,27,1,3,5,1979,2,6,0,8
44508,M18A0110,27,27,1,3,5,1979,2,6,0,8
44506,M18P0118,27,27,0,5,3,1995,1,8,2,9
44505,M18C0093,27,27,1,5,3,1979,2,2,2,2
44504,M18A0108,27,27,1,3,1,1987,2,6,0,8
44503,M18A0107,27,27,1,3,1,1979,2,6,0,8
44502,M18A0106,27,27,1,3,1,1979,2,6,2,8
44501,M18A0105,27,27,1,3,1,1979,2,6,0,8
44500,M18A0104,27,27,1,3,5,1979,2,6,2,8
44499,M18A0103,27,27,1,3,5,1990,2,6,2,8
44498,M18A0102,0,0,1,3,1,1979,2,6,0,8
44497,M18A0101,27,27,1,3,5,1989,2,6,0,8
44496,M18A0100,27,27,1,3,1,1979,2,6,2,8
44494,M18A0098,27,27,1,3,1,1996,2,6,0,8
44493,M18A0097,27,27,1,3,1,2003,2,6,2,8
44492,M18A0096,27,27,1,3,5,1979,2,6,2,8
44489,M18A0093,27,27,1,5,5,1979,1,2,2,8
44488,M18A0092,27,27,1,3,3,1979,2,6,2,8
44487,M18A0091,27,27,1,3,1,1986,1,2,2,8
44486,M18C0092,27,27,1,5,4,1989,2,2,3,2
44486,M18C0092,27,27,1,5,4,1979,2,2,3,2
44485,M18A0090,27,27,1,3,1,1988,2,6,0,8
44484,M18A0089,27,27,1,3,2,1989,2,8,2,8
44483,M18A0088,27,27,1,3,5,1979,2,6,2,8
44482,M18A0087,27,27,1,3,5,1983,2,6,0,8
44481,M18A0086,27,27,1,3,5,1979,2,6,2,8
44480,M18A0085,27,27,1,3,2,1980,2,6,2,8
44479,M18A0084,27,27,1,3,5,2010,2,6,0,8
44478,M18A0083,27,27,1,3,5,1987,2,6,2,8
44477,M18A0082,27,27,1,3,5,2004,2,8,2,8
44476,M18A0081,27,27,1,3,2,2000,2,6,1,8
44475,M18A0080,27,27,1,3,1,1973,1,1,0,8
44474,M18P0117,27,27,1,5,3,1980,2,6,0,9
44473,M18P0116,27,27,1,5,1,1979,2,4,0,9
44473,M18P0116,27,27,1,5,1,1979,2,4,0,9
44472,M18C0091,27,27,1,3,5,1979,2,6,2,2
44471,M18C0090,27,27,1,3,5,1979,2,6,2,2
44470,M18P0115,27,27,1,1,3,1979,2,1,2,9
44470,M18P0115,27,27,1,1,3,1979,2,1,2,9
44469,M18C0089,27,27,1,3,2,1979,2,6,2,2
44468,M18C0088,27,27,1,3,5,1989,2,6,0,2
44466,M18C0087,27,27,1,5,3,1979,2,6,2,2
44465,M18C0086,198,27,1,2,3,1979,2,6,3,2
44464,M18F0013,194,27,1,2,3,1979,1,4,3,7
44463,M18C0085,27,27,0,5,1,1979,1,4,2,2
44463,M18C0085,27,27,1,5,1,1979,1,4,2,2
44461,M18P0113,27,27,1,3,4,1979,2,6,0,9
44460,M18C0084,27,27,1,5,3,2002,2,6,2,2
44459,M18C0083,27,27,1,3,5,1979,2,6,2,2
44458,M18A0079,27,27,1,3,1,2004,2,6,2,8
44457,M18P0112,27,27,1,2,3,1987,2,6,3,9
44456,M18P0111,27,27,1,3,5,1979,2,6,2,9
44455,M18C0082,27,27,1,3,5,1988,2,6,2,2
44454,M18P0110,27,27,1,3,3,1995,1,5,2,9
44453,M18C0081,27,27,1,2,3,2003,2,6,1,2
44452,M18P0109,27,27,1,3,1,2004,2,6,2,9
44451,M18C0080,27,27,1,3,5,1979,2,6,1,2
44450,M18C0079,27,27,1,2,3,1996,2,6,1,2
44449,M18C0078,27,27,0,2,3,1997,2,6,1,2
44448,M18A0078,27,27,1,3,5,1979,1,8,2,8
44447,M18C0077,27,27,1,5,3,1975,2,6,0,2
44446,M18C0076,27,27,1,2,3,1979,1,5,3,2
44445,M18F0012,194,27,1,2,3,1968,1,1,2,7
44444,M18C0075,27,27,1,2,3,1979,2,6,2,2
44443,M18C0074,27,27,1,2,3,1967,2,6,2,2
44442,M18C0073,27,194,1,2,3,1979,1,1,2,2
44441,M18C0072,27,27,1,5,3,1986,1,4,3,2
44440,M18P0108,27,27,0,5,1,1968,1,8,2,9
44439,M18C0071,27,27,0,2,3,1966,1,7,0,2
44438,M18C0070,0,0,1,5,3,2000,2,6,2,2
44437,M18C0069,27,27,1,3,3,1979,2,6,1,2
44436,M18P0107,27,27,1,3,4,1986,2,8,2,9
44435,M18P0106,27,27,1,5,4,1979,1,2,1,9
44434,M18P0105,27,27,0,1,3,2017,2,3,3,9
44433,M18P0104,27,27,1,5,3,1979,2,6,3,9
44432,M18P0103,27,27,1,3,5,1979,2,8,0,9
44432,M18P0103,27,27,1,3,5,2017,2,8,0,9
44431,M18P0102,27,27,1,3,5,1972,2,6,3,9
44430,M18A0077,27,27,1,3,5,1970,1,8,2,8
44429,M18F0011,27,27,1,1,3,2005,1,4,2,7
44429,M18F0011,27,27,1,1,3,2016,1,4,2,7
44427,M18P0100,27,27,1,2,3,2006,2,6,3,9
44426,M18C0068,27,27,1,2,3,1964,2,6,2,2
44425,M18C0067,27,27,1,2,3,1979,2,6,3,2
44423,M18C0066,0,0,1,3,5,1989,2,6,2,2
44421,M18C0064,0,0,1,2,3,2013,1,2,2,2
44420,M18A0076,27,27,1,3,5,2001,1,8,3,8
44419,M18P0099,27,27,1,3,5,1984,1,2,2,9
44418,M18C0063,0,0,1,3,2,2008,2,2,2,2
44417,M18C0062,0,0,1,3,3,1978,2,6,2,2
44416,M18C0061,27,27,1,2,3,1993,1,8,3,2
44414,M18P0097,27,27,0,2,3,1970,2,6,3,9
44413,M18C0060,27,27,1,2,3,1968,2,6,1,2
44412,M18C0059,27,27,1,3,3,1969,2,6,1,2
44411,M18C0058,27,27,0,2,3,2008,2,6,2,2
44410,M18C0057,27,27,1,3,3,1997,2,6,0,2
44409,M18C0056,27,27,1,2,3,1943,1,4,3,2
44408,M18C0055,27,27,1,3,2,1992,2,7,0,2
44407,M18C0054,27,27,1,5,3,1979,2,6,2,2
44406,M18C0053,27,27,1,5,3,2014,2,6,1,2
44405,M18A0075,27,27,1,3,2,2011,1,2,1,8
44404,M18A0074,0,0,1,2,3,1979,2,2,0,8
44402,M18A0072,27,27,1,3,5,1998,2,6,2,8
44401,M18A0071,27,194,1,2,1,1979,1,5,2,8
44400,M18A0070,27,27,1,3,5,1974,2,6,2,8
44399,M18A0069,27,27,1,3,5,1993,2,6,2,8
44398,M18F0009,27,27,1,2,3,1979,1,1,3,7
44397,M18C0052,27,27,1,2,3,1979,2,6,2,2
44396,M18C0051,27,27,1,3,5,1979,2,6,0,2
44395,M18C0050,27,27,1,2,3,1979,2,6,3,2
44394,M18P0096,27,27,0,5,4,1993,1,8,1,9
44393,M18C0049,27,27,1,2,3,1981,2,6,3,2
44392,M18P0095,27,27,0,2,3,1974,1,7,0,9
44391,M18P0094,0,0,1,1,3,2011,1,4,3,9
44391,M18P0094,27,27,1,1,3,1978,1,4,3,9
44391,M18P0094,27,27,1,1,3,2011,1,4,3,9
44389,M18C0047,0,0,1,2,3,2002,2,6,0,2
44388,M18A0068,27,27,1,3,5,1993,2,6,2,8
44386,M18A0066,27,27,1,2,3,1979,2,6,2,8
44385,M18A0065,27,27,1,2,3,1979,2,6,2,8
44384,M18A0064,27,27,1,3,1,1969,2,6,2,8
44382,M18A0062,27,27,1,3,5,1969,2,6,2,8
44381,M18C0046,27,27,1,2,3,1979,2,6,2,2
44380,M18C0045,27,27,1,2,3,1979,2,6,2,2
44379,M18C0044,27,27,0,2,3,1998,2,6,2,2
44378,M18C0043,27,27,1,2,3,1983,1,1,3,2
44377,M18C0042,27,27,1,5,1,1983,2,1,2,2
44377,M18C0042,27,27,1,5,1,2012,2,1,2,2
44376,M18C0041,27,27,1,5,3,1981,1,5,3,2
44375,M18C0040,27,27,1,1,1,1978,2,1,3,2
44375,M18C0040,27,27,1,1,1,2009,2,1,3,2
44374,M18P0093,27,27,1,2,3,1979,2,6,0,9
44373,M18P0092,27,27,1,2,3,1990,2,6,0,9
44372,M18P0091,27,27,1,5,3,1977,2,6,2,9
