OccNo,OccYear,OccDate,OccClassID,OccurrenceType,OccSubType,AccIncType,AccIncSubType,Region,NearLocDescription,NearLocDistance,Latitude,Longitude,AreaType,PollutionIND,DGCargoReleaseIND,TotalFatalities,SeriousInjuries,NbVesselsInvolved,PrimaryVesselName,PrimaryVesselFlag,PrimaryVesselType,PrimaryVesselSubType,PrimaryVesselGrossTonnage,PrimaryVesselYearBuilt,PrimaryVesselYearRebuilt,PrimaryVesselActivityType,PrimaryVesselActivitySubType,PrimaryVesselLossIND,PRODUCTION_DT
M04W0017,2004,2004-01-27,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),PACIFIC REGION,"STRAIT OF GEORGIA, B.C.",,49.31666,-124.2166,CHANNEL / STRAIT / SOUND,NO,NO,0,0,2,PACIFIC TWILIGHT,CANADA,FISHING,UNKNOWN,12.73,1980,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04W0018,2004,2004-01-27,5,ACCIDENT,SHIPPING ACCIDENT,CAPSIZES,N/A,PACIFIC REGION,"GRENVILLE CHANNEL, B.C.",,53.42527,-129.4291,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,LARISSA,CANADA,FISHING,UNKNOWN,29.38,1979,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04N0005,2004,2004-01-28,5,INCIDENT,INCIDENT,BOTTOM CONTACT,N/A,ATLANTIC REGION,"SOUTH EAST BIGHT, NL",,47.39666,-54.57666,HARBOUR AREA,NO,NO,0,0,1,WINCHESTER,CANADA,FERRY,PASSENGER,384,1969,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M04N0003,2004,2004-01-29,5,ACCIDENT,SHIPPING ACCIDENT,FIRE,N/A,ATLANTIC REGION,"PORT-AUX-BASQUES, NFLD",,47.57405,-59.13461,HARBOUR AREA,NO,NO,0,0,1,JOSEPH AND CLARA SMALLWOOD,CANADA,FERRY,PASSENGER/VEHICLE,27614.91,1989,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M04L0022,2004,2004-01-30,5,ACCIDENT,SHIPPING ACCIDENT,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",CENTRAL REGION,"OFF ILE SAINT-LOUIS LL# 1790 (FR), QC",,48.25083,-70.01944,RIVER,NO,NO,0,0,1,PANLI,CYPRUS,CARGO - SOLID,CONTAINER SHIP,40504,1982,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04L0030,2004,2004-01-30,5,INCIDENT,INCIDENT,RISK OF SINKING,N/A,CENTRAL REGION,"ST. LAWRENCE RIVER, QC",,49.41166,-66.19833,RIVER,NO,NO,0,0,1,C.T.M.A. VACANCIER,CANADA,FERRY,PASSENGER/VEHICLE,11481,1973,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04W0022,2004,2004-01-30,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"VICTORIA HARBOUR, B.C.",,48.41472,-123.4063,HARBOUR AREA,NO,NO,0,0,1,QUEEN OF THE NORTH,CANADA,FERRY,PASSENGER/VEHICLE,8889.46,1969,1980,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M04L0025,2004,2004-01-31,5,ACCIDENT,SHIPPING ACCIDENT,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",CENTRAL REGION,"PORT ALFRED, QU�BEC",,48.33277,-70.86583,RIVER,NO,NO,0,0,1,TEAM MARS,MARSHALL ISLANDS,CARGO - LIQUID,PRODUCT/CHEMICAL TANKER,24330,1982,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04W0019,2004,2004-01-31,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"OFF THRASHER ROCK, STRAIT OF GEORGIA, B.C.",,49.15,-123.6,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,QUEEN OF ALBERNI,CANADA,FERRY,PASSENGER/VEHICLE,5863.22,1976,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M04W0021,2004,2004-01-31,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"BROWNING PASSAGE, ABEAM CARDIGAN ROCKS, B.C.",,50.88333,-127.7833,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,HURST ISLE,CANADA,PASSENGER,PASSENGER - CARGO,14.71,1973,,CARRIAGE OF PEOPLE,DIVING,NO,2018-08-15T10:01:40
M04W0020,2004,2004-02-01,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"HECATE STRAIT, B.C.",,53.22138,-131.2619,AT SEA (GENERAL),NO,NO,0,0,1,NOVA STAR,CANADA,FISHING,UNKNOWN,8,,,CARRIAGE OF PEOPLE,DIVING,NO,2018-08-15T10:01:40
M04L0023,2004,2004-02-07,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,CENTRAL REGION,"ILE LAPIERRE, QC",,46.08368,-73.00748,RIVER,NO,NO,0,0,1,CECILIA DESGAGNES,CANADA,CARGO - SOLID,GENERAL CARGO,5814.5,1971,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04L0024,2004,2004-02-08,5,ACCIDENT,SHIPPING ACCIDENT,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",CENTRAL REGION,"Q-19 - POINTE ST NICOLAS, QC",,46.71138,-71.445,RIVER,NO,NO,0,0,1,SAUNIERE,CANADA,CARGO - SOLID,BULK CARRIER,16709.24,1970,1976,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04W0029,2004,2004-02-09,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,PACIFIC REGION,"NORTH VANCOUVER, B.C.",,49.31388,-123.75,DRY DOCK,NO,NO,0,0,1,SEASPAN FORESTER,CANADA,BARGE - OTHER,BARGE - SELF-DUMPING,9771.08,1970,,SERVICE,"TOWING, ASSISTING",NO,2018-08-15T10:01:40
M04W0023,2004,2004-02-10,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"NEPEAN SOUND, B.C.",,53.2,-129.6,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,HENRY BAY,CANADA,FISHING,UNKNOWN,,,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04W0024,2004,2004-02-10,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"ATREVIDA REEF, B.C.",,49.92341,-124.7359,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,OP,CANADA,FISHING,UNKNOWN,,1995,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04W0025,2004,2004-02-10,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),PACIFIC REGION,"PILLSBURY COVE, PRINCE RUPERT HARBOUR, B.C.",,54.33361,-130.2775,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,BONNIE LASS,CANADA,FISHING,UNKNOWN,,,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04L0026,2004,2004-02-15,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,CENTRAL REGION,"EAST OF POINTE � BOISVERT, QUEBEC",,48.61333,-68.92,RIVER,NO,NO,0,0,1,CANADA SENATOR,LIBERIA,CARGO - SOLID,CONTAINER SHIP,30567,1992,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04L0027,2004,2004-02-16,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,CENTRAL REGION,"CAP DE LA T�TE AU CHIEN, QUEBEC",,47.88,-69.75666,RIVER,NO,NO,0,0,1,SPAR RUBY,NORWAY,CARGO - SOLID,BULK CARRIER,16775,1985,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04W0026,2004,2004-02-16,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"DUVALL POINT, HARDY BAY, B.C.",,50.77861,-127.4972,HARBOUR AREA,NO,NO,0,0,1,SANDERLING NO. 1,CANADA,FISHING,LONG LINER,58.07,1974,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04M0006,2004,2004-02-17,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),ATLANTIC REGION,"9.8 NM WSW OF SOUTHWEST HEAD, GRAND MANAN, NB",,44.53611,-67.11055,AT SEA (GENERAL),NO,NO,0,0,1,CUMELLA,CANADA,SERVICE SHIP,PATROL VESSEL (HARBOUR/SECURITY/RCMP),79.95,1983,,SERVICE,WATERWAY MANAGEMENT (INCL BUOYS),NO,2018-08-15T10:01:40
M04W0028,2004,2004-02-17,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),PACIFIC REGION,"MALASPINA STRAIT, B.C.",,49.83333,-124.6,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,NORTH ISLAND PRINCESS,CANADA,FERRY,PASSENGER/VEHICLE,841.15,1958,1971,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M04C0002,2004,2004-02-18,5,ACCIDENT,SHIPPING ACCIDENT,SANK,FLOODING,CENTRAL REGION,"PIER #52 TORONTO HARBOUR, ONT.",,43.63611,-79.35,HARBOUR AREA,NO,NO,0,0,1,R.C.L. TUG II,CANADA,TUG,N/A,38,,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04L0031,2004,2004-02-18,5,INCIDENT,INCIDENT,RISK OF SINKING,N/A,CENTRAL REGION,185 NM NE OF BERMUDA,,33.36666,-64.68333,RIVER,NO,NO,0,0,1,SPRUCEGLEN,CANADA,CARGO - SOLID,BULK CARRIER,22388,1982,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04W0032,2004,2004-02-19,5,ACCIDENT,SHIPPING ACCIDENT,FIRE,N/A,PACIFIC REGION,"VANCOUVER, B.C.",,49.2914,-123.1264,HARBOUR AREA,NO,NO,0,0,1,BLACK TIE,CANADA,PASSENGER,PASSENGER - CARGO,247.58,,,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,2018-08-15T10:01:40
